Name,Accuracy,Predicted,Certainty,Error,Dem Score,Rep Score
weka.classifiers.bayes.NaiveBayes,0.7,Republican,1.0,,,
weka.classifiers.bayes.NaiveBayesUpdateable,0.7,Republican,1.0,,,
weka.classifiers.functions.LibSVM,0.5,Republican,1.0,,,
weka.classifiers.functions.Logistic,0.6,Republican,1.0,,,
weka.classifiers.functions.MultilayerPerceptron,0.6,Republican,0.996,,,
weka.classifiers.functions.RBFNetwork,0.6,Republican,1.0,,,
weka.classifiers.functions.SimpleLogistic,0.7,Republican,0.881,,,
weka.classifiers.functions.SMO,0.6,Republican,1.0,,,
weka.classifiers.functions.VotedPerceptron,0.5,Republican,1.0,,,
weka.classifiers.lazy.IB1,0.6,Republican,1.0,,,
weka.classifiers.lazy.IBk,0.6,Republican,0.996,,,
weka.classifiers.lazy.KStar,0.6,Democrat,0.5,,,
weka.classifiers.lazy.LWL,0.7,Republican,1.0,,,
weka.classifiers.meta.RacedIncrementalLogitBoost,0.2,Republican,0.544,,,
weka.classifiers.misc.HyperPipes,0.5,Republican,0.553,,,
weka.classifiers.rules.ConjunctiveRule,0.6,Republican,1.0,,,
weka.classifiers.rules.DecisionTable,0.4,Republican,0.938,,,
weka.classifiers.rules.JRip,0.6,Republican,1.0,,,
weka.classifiers.rules.NNge,0.6,Republican,1.0,,,
weka.classifiers.rules.OneR,0.3,Republican,1.0,,,
weka.classifiers.rules.PART,0.9,Republican,1.0,,,
weka.classifiers.rules.Ridor,0.6,Republican,1.0,,,
weka.classifiers.rules.ZeroR,0.2,Republican,0.544,,,
weka.classifiers.trees.ADTree,0.5,Republican,0.992,,,
weka.classifiers.trees.DecisionStump,0.6,Republican,1.0,,,
weka.classifiers.trees.J48,0.9,Republican,1.0,,,
weka.classifiers.trees.LMT,0.7,Republican,0.881,,,
weka.classifiers.trees.NBTree,0.6,Republican,1.0,,,
weka.classifiers.trees.RandomForest,0.5,Republican,0.866,,,
weka.classifiers.trees.REPTree,0.6,Republican,1.0,,,
